Project,Client,Title,Duration
SOS2021-09,,# 118 Actualizar el index.html | pr. p9,00:04:00
SOS2021-09,,"#10 Rellenar mis datos en el GitHub, en la plantilla de equipos.",00:16:08
SOS2021-09,,#102 Hacer la colección de POSTMAN. | pr. p5,00:15:29
SOS2021-09,,#106 Adaptar la API a la tabla azul y verde | pr. p6,01:00:00
SOS2021-09,,"#11 Rellenar mis datos en el GitHub, en la plantilla de equipos.",00:18:35
SOS2021-09,,#110 Implementar test en las colecciones de POSTMAN | pr. p7,00:49:51
SOS2021-09,,#114 Actualizar documentación de POSTMAN de la API | pr. p8,00:58:00
SOS2021-09,,#122 Revisar los identificadores de recursos | pr. p10,00:13:00
SOS2021-09,,#124 Revisar la recepción y envío de datos en la API | pr. 13,00:15:00
SOS2021-09,,#126 Revisar la devolución de los GETS | pr. p11,00:14:08
SOS2021-09,,#13 Verificar mis datos en Piazza.,00:06:44
SOS2021-09,,#130 Revisar el buen uso del error 400 | pr. p12,00:30:15
SOS2021-09,,#138 Revisar lo quee Genera la BD | pr. p14,00:05:00
SOS2021-09,,#14 Verificar mis datos en Piazza.,00:02:14
SOS2021-09,,#141 Revisar lo quee Genera la BD | pr. p14,03:13:00
SOS2021-09,,#143 Añadir a la página inicial de heroku el enlace de cada front-end de cada miembro | gr. p1,00:00:24
SOS2021-09,,#144 Revisar pruebas y despliegue automatizado de heroku a partir de commits | gr. p2,00:21:00
SOS2021-09,,#145 Revisar que se cumplen las funcionalidades del D01 | pr. p1a,00:30:37
SOS2021-09,,#147 Implementar Front-End en Svelte que permita una forma de listar todos los recursos | pr. p1b,02:36:22
SOS2021-09,,#148 Todos los elementos de la interfaz deben ser comprensibles por usuarios no técnicos y deben estar en español | pr. p1c,00:00:15
SOS2021-09,,#150 Tener una vista correctamente configurada | gr. p4,02:00:00
SOS2021-09,,#151 Tener Código actualizado | gr. p3,00:05:00
SOS2021-09,,#152 Implementar Front-End en Svelte que permita una forma de crear recursos | pr. p1b1,00:20:00
SOS2021-09,,#153 Implementar Front-End en Svelte que permita una forma de borrar todos los recursos | pr. p1b3,00:20:00
SOS2021-09,,#154 Implementar Front-End en Svelte que permita una forma de borrar un recurso concreto | pr. p1b4,00:30:00
SOS2021-09,,#155 Implementar Front-End en Svelte que permita una forma de editar recursos concretos | pr. p1b5,00:20:00
SOS2021-09,,#163 Tener código actualizado | gr. p3,00:30:00
SOS2021-09,,#164 Implementar Gráfica de mi API,01:00:00
SOS2021-09,,#165 Implementar Gráfica de mi API,17:15:00
SOS2021-09,,#169 Implementación proxy,01:44:31
SOS2021-09,,#170 Implementación widget Biblioteca Highcharts,01:26:15
SOS2021-09,,#171 Implementación vista con awsome-charting,04:59:26
SOS2021-09,,"#172 Integración con la api 1, children-out-school (SOS)",04:06:46
SOS2021-09,,"#173 Integración con la api 2, anxiety-stats (SOS)",01:56:36
SOS2021-09,,"#174 Integración con la api 3, international-tourisms (SOS)",02:03:52
SOS2021-09,,"#175 Integración con la api 4, Google Searchs (Ext)",01:50:33
